Victor Oladipo,38,10.1,3.2,3.4,1.4,0.3
Patrick Williams,73,10.1,4.1,1.2,0.8,0.8
Brandon Clarke,56,10,5.5,1.3,0.6,0.7
Caleb Martin,64,10,5,1.6,1,0.5
Bones Hyland,7,9.9,3.4,3.1,0.6,0.1
Luke Kennard,17,9.9,2.4,2.1,0.5,0
Aaron Nesmith,66,9.9,3.8,1.3,0.7,0.4
Killian Hayes,68,9.8,2.8,6.2,1.4,0.4
Al Horford,58,9.8,6.2,2.9,0.5,0.9
Jonathan Kuminga,60,9.7,3.4,1.9,0.6,0.5
Jalen Suggs,45,9.7,3,3.2,1.3,0.5
Seth Curry,55,9.6,1.7,1.7,0.6,0.1
Onyeka Okongwu,72,9.6,7.2,1,0.7,1.3
Chris Boucher,68,9.5,5.7,0.4,0.7,0.9
Josh Green,54,9.5,3,1.8,0.7,0.1
Josh Hart,51,9.5,8.2,3.9,1.1,0.2
Naji Marshall,69,9.5,3.7,2.5,0.7,0.2
T.J. Warren,26,9.5,2.8,1.1,0.6,0.3
Herbert Jones,58,9.4,4,2.4,1.6,0.6
Gabe Vincent,61,9.4,2.1,2.4,0.9,0.1
Malaki Branham,58,9.3,2.7,2,0.5,0.1
Hamidou Diallo,56,9.3,3.5,1,0.9,0.3
Tari Eason,74,9.3,5.9,1,1.1,0.6
Rui Hachimura,26,9.3,4.4,0.6,0.3,0.3
Talen Horton-Tucker,60,9.3,3,3.5,0.6,0.5
Landry Shamet,34,9.3,1.6,2.1,0.7,0.1
Santi Aldama,70,9.2,4.7,1.3,0.6,0.6
Kyle Anderson,61,9.2,5.2,4.7,1.1,0.9
Donte DiVincenzo,65,9.2,4.4,3.3,1.3,0.2
Sandro Mamukelashvili,11,9.2,6.2,2,0.5,0.4
Coby White,65,9.2,2.7,2.4,0.8,0.1
Dorian Finney-Smith,40,9.1,4.7,1.5,1,0.5
Taurean Prince,48,9.1,2.4,1.6,0.5,0.3
Jalen Smith,63,9.1,5.7,1,0.3,0.9
Jae'Sean Tate,31,9.1,3.8,2.7,0.7,0.2
Precious Achiuwa,47,9,6,1,0.6,0.6
Jose Alvarado,61,9,2.3,3,1.1,0.2
Bol Bol,67,9,5.8,0.9,0.4,1.2
Terance Mann,74,9,3.5,2.3,0.5,0.3
Deni Avdija,72,8.9,6.4,2.6,0.8,0.4
Keita Bates-Diop,59,8.9,3.5,1.4,0.7,0.3
Ayo Dosunmu,71,8.9,2.8,2.6,0.7,0.3
AJ Griffin,66,8.9,2.1,1,0.6,0.2
Isaiah Joe,66,8.9,2.3,1.1,0.6,0.1
Walker Kessler,70,8.9,8.4,0.9,0.4,2.3
Andrew Nembhard,68,8.9,2.6,4.1,0.9,0.2
Royce O'Neale,70,8.9,5.1,3.6,0.9,0.7
Josh Richardson,15,8.9,2.5,2,1.7,0.5
Eugene Omoruyi,11,8.8,3.9,0.9,0.8,0.3
Cedi Osman,70,8.8,2.3,1.5,0.5,0.1
Aleksej Pokusevski,31,8.8,5.1,2,0.6,1.3
Jalen Duren,59,8.7,8.7,1.2,0.6,0.9
Jaden Hardy,40,8.7,1.8,1.2,0.3,0.1
Gary Harris,43,8.7,2,1.2,1,0.2
Dennis Smith Jr.,53,8.7,3.1,4.8,1.4,0.5
Steven Adams,42,8.6,11.5,2.3,0.9,1.1
Daniel Gafford,72,8.5,5.3,1,0.4,1.3
Draymond Green,66,8.5,7.3,6.8,1,0.8
Kevin Love,41,8.5,6.8,1.9,0.2,0.2
Cam Reddish,20,8.4,1.6,1,0.8,0.4
Grant Williams,71,8.4,4.7,1.7,0.6,0.4
Damion Lee,70,8.3,3.1,1.4,0.4,0.1
Shake Milton,70,8.3,2.5,2.8,0.3,0.2
Shaedon Sharpe,72,8.3,2.6,0.8,0.5,0.3
Jarred Vanderbilt,52,8.3,7.8,2.7,1,0.3
Mark Williams,38,8.3,6.4,0.4,0.7,1.1
Georges Niang,71,8.2,2.4,1,0.4,0.2
Robert Williams III,30,8.2,8.5,1.5,0.6,1.2
Pat Connaughton,56,8.1,4.8,1.3,0.7,0.2
T.J. McConnell,70,8.1,3,5.1,1.1,0.1
Nick Richards,60,8,6.3,0.6,0.2,1.1
Terrence Ross,42,8,2,1.3,0.6,0.2
Kemba Walker,9,8,1.8,2.1,0.2,0.2
Kenrich Williams,53,8,4.9,2,0.8,0.3
Jevon Carter,74,7.9,2.6,2.4,0.9,0.4
Chris Duarte,46,7.9,2.5,1.4,0.5,0.2
Matisse Thybulle,17,7.9,3.6,1.5,1.8,0.8
Duane Washington Jr.,31,7.9,1.2,2,0.2,0.1
Jeff Green,50,7.8,2.5,1.1,0.3,0.3
Luke Kennard,35,7.8,2.4,1.1,0.5,0.1
Trey Lyles,66,7.8,3.9,0.9,0.3,0.4
Tre Mann,61,7.8,2.3,1.7,0.6,0.2
Will Barton,40,7.7,2.8,2.4,0.4,0.3
Joe Harris,67,7.7,2.3,1.4,0.5,0.2
Julian Champagnie,7,7.6,3,0.3,0,0.6
Kevin Love,15,7.6,6,2,0.4,0.2
Mason Plumlee,16,7.6,8.1,1.7,0.6,0.6
Dario Saric,16,7.5,3.1,0.9,0.3,0
Edmond Sumner,49,7.5,1.5,1.4,0.6,0.2
Jarred Vanderbilt,18,7.5,7.6,1.9,1.3,0.3
Torrey Craig,71,7.4,5.5,1.5,0.6,0.7
Mo Bamba,40,7.3,4.6,1.1,0.3,1
Troy Brown Jr.,68,7.3,4.1,1.3,0.8,0.2
Reggie Bullock,71,7.3,3.6,1.4,0.7,0.2
R.J. Hampton,13,7.3,1.9,1,0.6,0.2
Kevon Looney,75,7.3,9.2,2.5,0.6,0.6
Mitchell Robinson,53,7.3,9.1,0.8,0.9,1.7
Willy Hernangomez,36,7.2,4.9,0.9,0.5,0.4
Romeo Langford,37,7.2,2.8,1.2,0.5,0.4
Joe Ingles,40,7.1,3,3.2,0.7,0.1
Anthony Lamb,55,7.1,3.5,1.6,0.5,0.3
Larry Nance Jr.,57,7.1,5.6,1.8,0.9,0.6
Josh Okogie,64,7.1,3.3,1.4,0.8,0.5
Dwight Powell,69,7.1,4.3,0.9,0.7,0.4
Jeremiah Robinson-Earl,38,7.1,4.4,1,0.6,0.3
Isaiah Jackson,56,7,4.2,0.8,0.5,1.4
Ty Jerome,44,7,1.8,3.1,0.5,0.1
Joshua Primo,4,7,3.3,4.5,0.3,0.5
Daniel Theis,7,7,3.1,1.3,0.3,0.9
Delon Wright,45,7,3.3,3.8,1.8,0.4
Ben Simmons,42,6.9,6.3,6.1,1.3,0.5
James Wiseman,21,6.9,3.5,0.7,0.1,0.3
Ochai Agbaji,51,6.8,1.9,0.9,0.3,0.2
Brandon Boston Jr.,21,6.8,1.4,0.9,0.4,0
Evan Fournier,23,6.8,2,1.5,0.6,0.1
Luka Garza,26,6.8,2.3,0.7,0.1,0.1
Trendon Watford,56,6.8,3.9,2.1,0.6,0.2
Justise Winslow,29,6.8,5,3.4,1,0.4
Nickeil Alexander-Walker,15,6.7,2.3,1.6,0.4,0.3
Kendrick Nunn,39,6.7,1.4,0.9,0.3,0.1
Jarrell Brantley,3,6.7,1.7,1,0,0.7
Terence Davis,58,6.6,2.3,1.1,0.7,0.2
Dorian Finney-Smith,20,6.6,4.8,1.6,0.7,0.5
JaMychal Green,55,6.6,3.7,0.9,0.5,0.4
David Roddy,61,6.6,2.6,0.7,0.5,0.3
Goran Dragic,50,6.5,1.4,2.8,0.2,0.1
Jock Landale,65,6.5,4,1,0.2,0.5
Isaac Okoro,75,6.5,2.5,1.2,0.7,0.4
Xavier Tillman,54,6.5,4.7,1.5,0.9,0.4
Aaron Wiggins,62,6.5,3.1,1.2,0.5,0.2
Patrick Beverley,45,6.4,3.1,2.6,0.9,0.6
Cory Joseph,54,6.4,1.6,3.4,0.5,0.1
Isaiah Livers,47,6.4,2.6,0.8,0.6,0.5
Nickeil Alexander-Walker,36,6.3,1.6,2.1,0.7,0.4
Svi Mykhailiuk,12,6.3,1.3,1.1,0.3,0.1
Mike Muscala,43,6.2,3.1,0.9,0.3,0.4
Duncan Robinson,36,6.2,1.7,1.1,0.3,0
Nicolas Batum,71,6.1,3.9,1.5,0.7,0.6
Drew Eubanks,71,6.1,5.1,1.2,0.5,1.1
Sam Hauser,72,6.1,2.5,0.7,0.3,0.3
Reggie Jackson,10,6.1,1.4,3,0.5,0.1
Nassir Little,50,6.1,2.6,0.9,0.3,0.4
Patty Mills,38,6.1,1.1,1.4,0.4,0.1
Obi Toppin,60,6.1,2.8,0.8,0.3,0.2
Jae Crowder,11,6,4.2,1.4,0.5,0.4
Jordan Goodwin,54,6,3.1,2.4,0.9,0.4
Kendrick Nunn,23,6,1.4,1.6,0.5,0
Jordan Nwora,38,6,3.1,1,0.3,0.2
Oshae Brissett,58,5.9,3.4,0.6,0.5,0.2
Robert Covington,42,5.9,3.4,1.2,0.8,0.7
Andre Drummond,60,5.9,6.6,0.5,0.7,0.4
Wenyen Gabriel,60,5.9,4.3,0.5,0.4,0.5
Stanley Johnson,30,5.9,3.2,2.2,0.5,0.2
Maxi Kleber,32,5.9,3.8,1.3,0.3,0.8
Jaylin Williams,42,5.9,4.8,1.5,0.5,0.3
Patrick Beverley,14,5.8,6.1,3.7,0.6,0.8
Dario Saric,37,5.8,3.8,1.5,0.4,0.1
Yuta Watanabe,51,5.8,2.5,0.9,0.5,0.3
Charles Bassey,35,5.7,5.5,1.3,0.5,0.9
Dewayne Dedmon,30,5.7,3.6,0.5,0.2,0.5
Simone Fontecchio,45,5.7,1.4,0.8,0.2,0.2
R.J. Hampton,26,5.7,1.5,1.3,0.6,0.2
Rodney McGruder,32,5.7,2.3,0.9,0.5,0
Davion Mitchell,73,5.7,1.3,2.3,0.5,0.2
Alex Caruso,60,5.6,3,3,1.5,0.6
Kevin Knox II,42,5.6,2.6,0.4,0.3,0.3
Saben Lee,20,5.6,1.9,2.7,0.7,0.1
Derrick Rose,27,5.6,1.5,1.7,0.3,0.2
Javonte Green,30,5.5,2.8,0.8,0.8,0.7
Nikola Jovic,15,5.5,2.1,0.7,0.5,0.1
Otto Porter Jr.,8,5.5,2.4,1,1.4,0
Ricky Rubio,26,5.5,2.2,3.5,0.9,0.2
Darius Bazley,36,5.4,3.4,0.9,0.5,0.8
Josh Christopher,56,5.4,1.1,1.1,0.4,0.2
Montrezl Harrell,52,5.4,2.7,0.6,0.3,0.5
Theo Maledon,37,5.4,2.4,2.4,0.7,0.2
Jalen McDaniels,16,5.4,3.1,0.6,0.4,0.1
Lamar Stevens,55,5.4,3.2,0.5,0.4,0.3
Devonte' Graham,53,5.3,1.4,2.2,0.6,0.2
Jalen Johnson,63,5.3,4,1,0.5,0.4
MarJon Beauchamp,45,5.2,2.2,0.6,0.4,0.1
Vlatko Cancar,53,5.2,2.2,1.4,0.3,0.2
Ousmane Dieng,31,5.2,2.8,1.1,0.4,0.2
Rudy Gay,56,5.2,2.9,1,0.3,0.3
John Konchar,65,5.2,4.2,1.3,1,0.3
Dru Smith,6,5.2,1.7,1.7,0.8,0.2
Ziaire Williams,36,5.2,2.1,0.7,0.4,0.1
Jaxson Hayes,45,5.1,2.9,0.8,0.4,0.4
Lindy Waters III,37,5.1,1.7,0.7,0.3,0.2
George Hill,35,5,1.9,2.5,0.5,0.1
Jonathan Isaac,11,5,4,0.5,1.3,0.4
Derrick Jones Jr.,56,5,2.4,0.6,0.4,0.6
Cody Martin,7,5,3.4,1.6,0.6,0.1
Zeke Nnaji,47,5,2.4,0.3,0.3,0.4
Mike Muscala,12,4.9,3.1,0.3,0.3,0.3
Eugene Omoruyi,23,4.9,2.3,0.5,0.6,0
Austin Rivers,52,4.9,1.6,1.4,0.5,0.1
Blake Wesley,29,4.9,2.1,2.6,0.6,0.1
Isaiah Hartenstein,75,4.8,6.6,1,0.6,0.8
DeAndre Jordan,35,4.8,4.8,0.9,0.2,0.6
Garrison Mathews,45,4.8,1.4,0.5,0.5,0.1
Chimezie Metu,61,4.8,3,0.7,0.3,0.3
Chuma Okeke,22,4.7,3.5,1.2,0.5,0.4
Payton Pritchard,45,4.7,1.5,1,0.3,0
Day'Ron Sharpe,40,4.7,4.1,0.8,0.3,0.7
Cody Zeller,10,4.7,3.5,0.6,0.2,0.4
Moses Brown,34,4.6,4.1,0.1,0.1,0.4
Malachi Flynn,48,4.6,1.5,1.4,0.4,0.1
Kira Lewis Jr.,23,4.6,1.4,0.9,0.4,0.1
TyTy Washington Jr.,30,4.6,1.4,1.6,0.4,0.1
Blake Griffin,34,4.5,3.7,1.3,0.4,0.2
Justin Holiday,28,4.5,0.8,0.9,0.2,0.4
Dean Wade,39,4.5,3.3,0.8,0.6,0.5
Patrick Baldwin Jr.,26,4.4,1.4,0.3,0.2,0.2
Mo Bamba,7,4.4,5.3,0.6,0.1,0.6
Dalano Banton,27,4.4,1.3,1.1,0.5,0.4
Jamal Cain,15,4.4,2.6,0.6,0.5,0
Jarrett Culver,10,4.4,3.8,0.6,0.6,0.2
Kessler Edwards,14,4.4,2,0.9,0.3,0.2
Haywood Highsmith,50,4.4,3.4,0.7,0.7,0.3
Moses Moody,58,4.4,1.6,0.8,0.3,0.1
Thaddeus Young,54,4.4,3.1,1.4,1,0.1
A.J. Green,32,4.3,1.2,0.6,0.2,0
Justin Holiday,13,4.3,1.6,0.9,0.8,0.6
Danuel House Jr.,48,4.3,1.7,0.7,0.3,0.2
Daishen Nix,50,4.3,1.8,2.5,0.6,0.1
Ish Wainright,54,4.3,2.2,0.9,0.7,0.3
Thomas Bryant,16,4.2,3.1,0.1,0.1,0.3
Admiral Schofield,31,4.2,1.7,0.8,0.2,0.1
T.J. Warren,11,4.2,2.8,0.2,0.5,0.2
Davis Bertans,41,4.1,1,0.5,0.2,0.1
James Bouknight,27,4.1,1.9,1,0.5,0.1
Christian Braun,68,4.1,2.2,0.8,0.4,0.2
Bruno Fernando,31,4.1,3.9,1,0.2,1
George Hill,7,4.1,1.9,1.7,0.7,0.4
Serge Ibaka,16,4.1,2.8,0.3,0.1,0.4
Keon Johnson,38,4.1,1.1,1.3,0.5,0.2
Johnny Juzang,12,4.1,1.8,0.3,0.2,0.3
JaVale McGee,37,4.1,2.5,0.3,0.1,0.6
Gary Payton II,15,4.1,2.6,1.5,1,0.1
Isaiah Roby,42,4.1,2.5,0.9,0.4,0.2
Bismack Biyombo,54,4,4.1,0.9,0.3,1.4
Aaron Holiday,57,4,1.2,1.4,0.6,0.2
Meyers Leonard,6,4,2.2,0,0.2,0
Garrison Mathews,6,4,1.2,0.3,0.2,0
Goga Bitadze,9,3.9,4.4,1.1,0.3,0.7
